24.07.2026                                                           Dynamische Listenausgabe                                                                  1


	TCODE	PGMNA	DYPNO	MENUE	CINFO	ARBGB	TTEXT

	/ACCGO/ABD_TYPE_SCEN		 0000		   02		Agenturbelegarten bestimmen
	/ACCGO/ACC		 0000		   02		NK für Abgrenzungsgruppe pflegen
	/ACCGO/ACCRUAL_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Work Center für Abgrenzungen
	/ACCGO/ACCRUAL_WC_BG	/ACCGO/FEE_ACCRUAL_WC_BG	 1000		   80		Work Center für Abgrenz. - HinterJob
	/ACCGO/ACC_CST		 0000		   02		Dummy-Kunde für Gebührenabgrenzungen
	/ACCGO/ACM_ADDON_BRF		 0000		   02		Regeln f. ACM-Add-On BRFplus starten
	/ACCGO/ACM_BGRFC_DST	/ACCGO/ACM_CREATE_BGRFC_DEST	 1000		   80		bgRFC-Destinationen für ACM-Massenanwendung anlegen
	/ACCGO/ACM_BSPL_CORR	/ACCGO/ACM_BATCH_SPLIT_COR_REP	 1000		   80		Anwendung Chargensplitkorrektur
	/ACCGO/ACM_DEL_LOCK	/ACCGO/ACM_DEL_LOCK_REPORT	 1000		   80		SAP-Fiori-Sperreinträge
	/ACCGO/ACM_RECONCILE	/ACCGO/ACM_RECONCILE_REPORT	 1000		   80		Abstimmung der MtM-/Positionssätze
	/ACCGO/ACM_UPD_PASP	/ACCGO/ACM_UPDT_PASPQTY_UTIL	 1000		   80		Hilfsprg. Aktual. PASP_QTY-Einträge
	/ACCGO/ACTV_SWITCH	/ACCGO/CMN_ACTIVATE_BF	 1000		   80		Schalter aktivieren
	/ACCGO/AGR		 0000		   02		Nummernkreis f. AnwGruppe bearbeiten
	/ACCGO/AID		 0000		   02		Nummernkreis für AnwBeleg bearbeiten
	/ACCGO/AIER_MAINTAIN		 0000		   02		Konten für Eigenkapital pflegen
	/ACCGO/AMD_MAPTRID		 0000		   02		Händler-ID
	/ACCGO/AMD_TRADID		 0000		   02		Transaktion für Händler-ID
	/ACCGO/APL		 0000		   02		Nummernkreis für AnwBeleg bearbeiten
	/ACCGO/APPLDOC_DIS	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   04		Anwendungsbeleg
	/ACCGO/APPL_LOG_DISP	/ACCGO/CMN_UUID_ERROR_LOG_DISP	 1000		   84		Anwendungsprotokoll anzeigen
	/ACCGO/APPQ_REEXEC	/ACCGO/APPLICATION_REEXECUTE_Q	 1000		   80		Erneute Ausführung der Anwend.-Queue
	/ACCGO/APP_DISP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Anwendungsbeleg
	/ACCGO/APP_OBLG_GRPS		 0000		   02		OblgArt zu OblgGruppArt zuordnen
	/ACCGO/APP_PLANT_GRP		 0000		   02		Werk zu Werkgruppe zuordnen
	/ACCGO/APP_QCO		 0000		   02		Modus für Anw.-/Preisf.-Queue festl.
	/ACCGO/APP_SPOT	/ACCGO/CAS_SPOT_MONITOR	 1000		   80		Spot-Monitor Kontraktanwendung
	/ACCGO/APP_SPOT_NEW	/ACCGO/CAS_SPOT_MONITOR_NEW	 1000		   80		Spot-Monitor-Programmrenovierung
	/ACCGO/APP_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00		Work-Center für man. Anwendung
	/ACCGO/ARFLINK		 0000		   02		Verknüpft Regelknoten mit seiner ID
	/ACCGO/ASGN_PRFCTYPE		 0000		   02		Profile zu Kontraktarten zuordnen
	/ACCGO/ASGT_DIST_DR	/ACCGO/APP_ASGT_DIST_DISCR_RPT	 1000		   84		AnwDiskrep. in ZuordnungsvertStatus
	/ACCGO/ASQ		 0000		   02		NummKreis f. AnwReihFolge bearbeiten
	/ACCGO/AS_MD_STS		 0000		   02		Sicht für Zuordnung Stamm zu Status
	/ACCGO/BACKDATED		 0000		   02		Rückwirkende Stammdatenänderungen
	/ACCGO/BLKPP		 0000		   02		Kontraktart und -status pflegen
	/ACCGO/BRF_AUTH		 0000		   02		BRF-Objektberechtigung
	/ACCGO/BRF_CATALOG		 0000		   02		Katalog für ACM BRF+
	/ACCGO/BR_WC	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00
	/ACCGO/BR_WC_APP	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00
	/ACCGO/BR_WC_STL	/ACCGO/SAPLCAS_FRAMEWORK_UI	 2000		   00
	/ACCGO/CAKHDR_CORR	/ACCGO/CCAK_CAKHDR_CORRECTION	 1000		   80		Korrekturreport
	/ACCGO/CAK_CCL_BI	/ACCGO/CAK_CLOSE_CONTRACTS	 1000		   80		Batch-Input-Report Kontraktabschluss
	/ACCGO/CAK_DYN_QTTYP	/ACCGO/CAK_DISP_DYN_QTY_TYPES	 1000		   80		Dynamische Mengenarten
	/ACCGO/CAK_FBO	/ACCGO/CAK_FBO_REPORT	 1000		   80		FA-Arbeitsvorrat
	/ACCGO/CAK_OUTPUT_PR	/ACCGO/CAK_OUTPUT_PROCESS	 1000		   80		Testreport - Kontraktausgabeverarb.
	/ACCGO/CAK_PRC_ODR	/ACCGO/CAK_PRICE_ORDER	 1000		   80		On-Demand-Preisanfrage-Tracker
	/ACCGO/CAK_QUOTE	/ACCGO/CAK_QUOTE_REPORT	 1000		   80		Arbeitsvorrat für Angebote
	/ACCGO/CAK_RC_TRACE	/ACCGO/CAK_RC_TRACE	 1000		   80		Begründungsschlüssel-Tracker
	/ACCGO/CAK_SNAPSHOTS	/ACCGO/CAK_SNAPSHOT_REPORT	 1000		   84		Kontrakt-Snapshots
	/ACCGO/CAK_TYP		 0000		   02		Kontraktarten pflegen
	/ACCGO/CANC_CONV_WB	/ACCGO/CPE_CNCL_MIGRATION	 1000		   80		ACM: Datenumsetzung für Stornierung
	/ACCGO/CANL_PR		 0000		   02		Storno Preisfaktor
	/ACCGO/CANREVE		 0000		   02		Rücknahme oder Storno pflegen
	/ACCGO/CAS_CANC_UF	/ACCGO/ACM_CANC_UF_REPORT	 1000		   80		Stornierung/Unterdeckung
